"Part No","Description (EN)","Descripcion (ES)","Fits Model(s)","Category"
"06435AABA00S","Rear brake pads","PASTILLA TRAS TODAS HERO","Multi-model","Brakes"
"06455AAN211S","Front brake pads","PASTILLA DEL TODAS HERO","Multi-model","Brakes"
"06455KVE861S","Front brake pads","PASTILLA DELANTERASHUNK 125R","Hunk 125R","Brakes"
"43120365H70S","Brake shoes","BANDAS FRENO (PEQUENA)ECO DELUXE/C-90/XL 125/PASSION/SPLENDOR NXG/BIZ 100","Eco Deluxe / Splendor / C-90","Brakes"
"53175KFN850S","Brake lever","MANIGUETA FRENO","Multi-model","Brakes"
"53175KSP900S","Brake lever","MANIGUETA FRENOHUNK 125R","Hunk 125R","Brakes"
"17910-KVH-760S","Accelerator cable","GUAYA ACELERADOR ECO DELUXE/SPLENDOR NXG MN. (LARGA)","Eco Deluxe / Splendor","Cables & controls"
"17910AABC00S","Accelerator cable","GUAYA ACELERADOR XPULSE 200","Xpulse 200","Cables & controls"
"17910AAM410S","Accelerator cable","GUAYA ACELERADOR IGNITOR","Ignitor","Cables & controls"
"17910ABZ000S","Accelerator cable","GUAYA ACELERADOR HUNK 160R","Hunk 160R","Cables & controls"
"17910ACL000S","Accelerator cable","GUAYA ACELERADORHUNK 125R","Hunk 125R","Cables & controls"
"44830AAJ000S","Speedometer cable","GUAYA VELOCIMETRO ECO","Eco","Cables & controls"
"44830KST940S","Speedometer cable","GUAYA VELOCIMETRO ECO DELUXE/SPLENDOR NXG/CBF/125/150/CB 110 (44830-AAJ-000S)","Eco Deluxe / Splendor / CB 110","Cables & controls"
"22100ACR000S","Clutch","PRENSA CLUTCHHUNK 125R","Hunk 125R","Clutch & transmission"
"22110KST940S","Clutch","MANZANA CLUTCH ECO DELUXE (TODAS)/ECO 100 MN./ISMART (TODAS) (22110-AAH-H40S)","Eco Deluxe / Eco 100","Clutch & transmission"
"22120KRM840S","Clutch plate carrier","PORTA DISCO TODAS HERO","Multi-model","Clutch & transmission"
"22121ACL000S","Clutch plate carrier","PORTA DISCOS CLUTCH HUNK 125","Hunk 125R","Clutch & transmission"
"22201ACL000S","Clutch","DISCO DE CLUTCH 1","Multi-model","Clutch & transmission"
"22201GF6000S","Clutch friction plate set (4)","JGO. 4 DISCOS CLUTCH ECO 100 TODAS/SPLENDOR NXG/WAVE 100/II/ISMART 100/CBF 125","Eco 100 / Splendor / CBF 125","Clutch & transmission"
"22205ACL000S","Clutch","DISCO DE CLUTCH 2","Multi-model","Clutch & transmission"
"22311107000S","Clutch separator plate set (3)","JGO. 3 DISCOS SEPARADORES CLUTCH ECO DELUXE/ISMART (TODAS)/NKD/LIBERO125","Eco Deluxe","Clutch & transmission"
"22321ACA000S","Clutch","SEPARADORES CLUTCH HUNK 125","Hunk 125R","Clutch & transmission"
"22321KPS900S","Clutch","SEPARADORES CLUTCH TODAS HERO","Multi-model","Clutch & transmission"
"22350ACL000S","Clutch spring retainer","PORTA RESORTES CLUTCH HUNK 125","Hunk 125R","Clutch & transmission"
"22355KRM840S","Clutch spring retainer","PORTA RESORTE TODAS HERO","Multi-model","Clutch & transmission"
"22870ABW100S","Clutch cable","GUAYA CLUTCH XPULSE 200","Xpulse 200","Clutch & transmission"
"22870ABZ000S","Clutch cable","GUAYA CLUTCH HUNK 160","Hunk 160R","Clutch & transmission"
"22870KCC900S","Clutch cable","GUAYA CLUTCH ECO DELUXE/ECO 100 (TODAS)/SPLENDOR NXG (22870-KWA-940S)","Eco Deluxe / Eco 100 / Splendor","Clutch & transmission"
